Question,Image,A,B,C,D,E,Answer,Logic
hc_253,hc_3_q53.png,FB,FC,FH,GH,LC,GH,"Q7 Style: Top=count, Bot=inner_shape"
hc_254,hc_3_q54.png,XM,XT,ZM,ZS,ZT,ZT,"Q7 Style: Top=count, Bot=inner_shape"
hc_255,hc_3_q55.png,PB,PF,RB,RF,UB,PF,"Q7 Style: Top=count, Bot=inner_shape"
hc_256,hc_3_q56.png,GQ,GW,RQ,RW,XW,RW,"Q7 Style: Top=count, Bot=inner_shape"
hc_257,hc_3_q57.png,AT,AZ,HT,YQ,YZ,YQ,"Q7 Style: Top=count, Bot=inner_shape"
hc_258,hc_3_q58.png,AB,KT,VB,VC,VT,VB,"Q7 Style: Top=count, Bot=inner_shape"
hc_259,hc_3_q59.png,AH,PE,PX,YE,YX,YE,"Q7 Style: Top=count, Bot=inner_shape"
hc_260,hc_3_q60.png,WC,WS,WV,ZS,ZV,WC,"Q7 Style: Top=count, Bot=inner_shape"
hc_261,hc_3_q61.png,CS,CY,KY,RD,RY,RY,"Q7 Style: Top=count, Bot=inner_shape"
hc_262,hc_3_q62.png,CA,JA,JG,JV,RV,JA,"Q7 Style: Top=count, Bot=inner_shape"
hc_263,hc_3_q63.png,AW,SG,SK,UK,UW,SG,"Q7 Style: Top=count, Bot=inner_shape"
hc_264,hc_3_q64.png,EC,MC,MD,MS,XS,MD,"Q7 Style: Top=count, Bot=inner_shape"
hc_265,hc_3_q65.png,FU,RU,VB,VC,VU,FU,"Q7 Style: Top=count, Bot=inner_shape"
hc_266,hc_3_q66.png,CQ,CY,DR,DY,KQ,CQ,"Q7 Style: Top=count, Bot=inner_shape"
hc_267,hc_3_q67.png,CJ,CN,RJ,RN,ZH,RJ,"Q7 Style: Top=count, Bot=inner_shape"
hc_268,hc_3_q68.png,BN,BR,BT,XN,YR,BR,"Q7 Style: Top=count, Bot=inner_shape"
hc_269,hc_3_q69.png,KE,KJ,NC,NE,NJ,NJ,"Q7 Style: Top=count, Bot=inner_shape"
hc_270,hc_3_q70.png,AP,HT,HY,ZT,ZY,AP,"Q7 Style: Top=count, Bot=inner_shape"
hc_271,hc_3_q71.png,KE,RE,RM,SE,SM,KE,"Q7 Style: Top=count, Bot=inner_shape"
hc_272,hc_3_q72.png,JG,JH,LG,LH,PG,JG,"Q7 Style: Top=count, Bot=inner_shape"
hc_273,hc_3_q73.png,KE,KH,KU,TE,TH,KE,"Q7 Style: Top=count, Bot=inner_shape"
hc_274,hc_3_q74.png,HL,HX,JV,YL,YX,JV,"Q7 Style: Top=count, Bot=inner_shape"
hc_275,hc_3_q75.png,DL,ML,MR,TK,TR,TR,"Q7 Style: Top=count, Bot=inner_shape"
hc_276,hc_3_q76.png,CD,CX,LS,LX,ZD,CX,"Q7 Style: Top=count, Bot=inner_shape"
hc_277,hc_3_q77.png,LP,LU,NF,NP,YP,NF,"Q7 Style: Top=count, Bot=inner_shape"
hc_278,hc_3_q78.png,GA,GU,RA,SA,SU,SU,"Q7 Style: Top=count, Bot=inner_shape"
hc_279,hc_3_q79.png,BR,NC,NR,QC,QR,BR,"Q7 Style: Top=count, Bot=inner_shape"
hc_280,hc_3_q80.png,GU,GV,KC,KV,XC,KC,"Q7 Style: Top=count, Bot=inner_shape"
hc_281,hc_3_q81.png,CU,CY,TQ,ZQ,ZU,TQ,"Q7 Style: Top=count, Bot=inner_shape"
hc_282,hc_3_q82.png,QN,SJ,SN,SY,VJ,SJ,"Q7 Style: Top=count, Bot=inner_shape"
hc_283,hc_3_q83.png,BC,BU,QG,QU,VG,BU,"Q7 Style: Top=count, Bot=inner_shape"
hc_284,hc_3_q84.png,AF,CF,JF,JG,JH,AF,"Q7 Style: Top=count, Bot=inner_shape"
hc_285,hc_3_q85.png,AU,AW,EG,EU,XG,EU,"Q7 Style: Top=count, Bot=inner_shape"
hc_286,hc_3_q86.png,KE,NE,NT,NY,RE,NT,"Q7 Style: Top=count, Bot=inner_shape"
hc_287,hc_3_q87.png,DG,DZ,HG,PS,PZ,HG,"Q7 Style: Top=count, Bot=inner_shape"
hc_288,hc_3_q88.png,RJ,RN,SJ,SN,YN,RN,"Q7 Style: Top=count, Bot=inner_shape"
hc_289,hc_3_q89.png,CV,CW,SV,SW,SX,SX,"Q7 Style: Top=count, Bot=inner_shape"
hc_290,hc_3_q90.png,AC,AK,AU,XC,XU,XU,"Q7 Style: Top=count, Bot=inner_shape"
hc_291,hc_3_q91.png,GV,GY,HN,HV,MV,GV,"Q7 Style: Top=count, Bot=inner_shape"
hc_292,hc_3_q92.png,PC,RJ,RK,YC,YK,PC,"Q7 Style: Top=count, Bot=inner_shape"
hc_293,hc_3_q93.png,CH,CN,FH,FL,FN,CH,"Q7 Style: Top=count, Bot=inner_shape"
hc_294,hc_3_q94.png,GV,GW,JM,XM,XV,GV,"Q7 Style: Top=count, Bot=inner_shape"
hc_295,hc_3_q95.png,GB,GT,UZ,YB,YZ,GT,"Q7 Style: Top=count, Bot=inner_shape"
hc_296,hc_3_q96.png,JK,JX,NA,NX,PK,JK,"Q7 Style: Top=count, Bot=inner_shape"
hc_297,hc_3_q97.png,CF,QB,QE,SE,SF,SF,"Q7 Style: Top=count, Bot=inner_shape"
hc_298,hc_3_q98.png,HR,HX,LX,VM,VR,LX,"Q7 Style: Top=count, Bot=inner_shape"
hc_299,hc_3_q99.png,AV,UV,UX,WV,WX,UV,"Q7 Style: Top=count, Bot=inner_shape"
hc_300,hc_3_q100.png,ND,NS,PH,PS,TD,TD,"Q7 Style: Top=count, Bot=inner_shape"
hc_301,hc_4_q1.png,KA,MB,MJ,QA,SA,MB,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_302,hc_4_q2.png,NA,TS,WA,WK,WS,WA,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_303,hc_4_q3.png,AF,AV,KW,NR,NW,NW,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_304,hc_4_q4.png,GF,QK,QY,UY,XF,XF,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_305,hc_4_q5.png,AT,GT,KY,PR,PY,PY,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_306,hc_4_q6.png,AF,CE,CL,QV,WE,WE,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_307,hc_4_q7.png,GE,JA,ME,MR,XB,JA,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_308,hc_4_q8.png,HD,HJ,ND,NE,YD,ND,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_309,hc_4_q9.png,BA,BN,MS,QA,YN,YN,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_310,hc_4_q10.png,TB,XG,ZB,ZG,ZM,ZG,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_311,hc_4_q11.png,AH,AL,XL,XU,YH,AH,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_312,hc_4_q12.png,BM,GH,GT,UM,UT,GH,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_313,hc_4_q13.png,BC,MC,NC,NK,ZC,NC,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_314,hc_4_q14.png,EF,SX,ZF,ZP,ZX,ZF,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_315,hc_4_q15.png,GE,QP,RE,RX,RZ,RX,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_316,hc_4_q16.png,GF,GH,GW,JE,UE,JE,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_317,hc_4_q17.png,EX,RL,RU,ZL,ZQ,EX,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_318,hc_4_q18.png,MS,NE,XV,ZK,ZS,MS,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_319,hc_4_q19.png,CB,CF,DE,JN,KF,CF,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_320,hc_4_q20.png,BQ,BY,CS,TS,ZQ,CS,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_321,hc_4_q21.png,CE,CS,GJ,NR,QJ,CS,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_322,hc_4_q22.png,AC,AN,FC,FN,KH,FC,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_323,hc_4_q23.png,RD,RW,UD,UE,YW,UE,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_324,hc_4_q24.png,WJ,WL,XD,XS,ZD,ZD,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_325,hc_4_q25.png,GT,GU,QT,RT,RV,QT,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_326,hc_4_q26.png,BU,FG,QG,SU,SZ,FG,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_327,hc_4_q27.png,EC,EQ,LS,ZC,ZS,ZS,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_328,hc_4_q28.png,CE,MG,VE,YH,YQ,VE,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_329,hc_4_q29.png,DG,DK,EK,HN,RK,RK,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_330,hc_4_q30.png,JH,PE,RH,RX,SX,SX,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_331,hc_4_q31.png,FA,FL,HA,UA,YA,FL,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_332,hc_4_q32.png,CD,MK,ML,QH,QK,ML,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_333,hc_4_q33.png,CE,FN,RN,RY,UN,CE,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_334,hc_4_q34.png,BH,BT,SN,SQ,XQ,XQ,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_335,hc_4_q35.png,BU,MH,TC,TH,TW,TH,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_336,hc_4_q36.png,BP,KG,UG,US,XS,US,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_337,hc_4_q37.png,JF,ML,QB,YA,YL,JF,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_338,hc_4_q38.png,DB,DH,DX,QH,WH,QH,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_339,hc_4_q39.png,AS,MP,MS,WS,WT,MS,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_340,hc_4_q40.png,AE,AT,DE,DH,RT,AT,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_341,hc_4_q41.png,CL,EP,NL,NZ,XB,NL,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_342,hc_4_q42.png,MJ,NR,NZ,QJ,QY,MJ,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_343,hc_4_q43.png,VM,YP,YW,ZM,ZP,VM,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_344,hc_4_q44.png,HD,HP,MP,UD,YC,HP,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_345,hc_4_q45.png,BL,UH,UL,YH,YL,UH,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_346,hc_4_q46.png,WQ,WX,YQ,ZQ,ZX,WX,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_347,hc_4_q47.png,LF,LR,QF,QS,ZS,LR,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_348,hc_4_q48.png,CH,JU,KP,YH,YM,YM,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_349,hc_4_q49.png,CK,HM,HN,RM,UP,HN,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_350,hc_4_q50.png,BQ,HR,HV,UQ,UV,BQ,"Q8 Style: Top=rect_shade, Bot=circ_shade"
hc_351,hc_4_q51.png,AB,AR,FU,PB,PU,FU,"Q9 Style: Top=count, Bot=shape"
hc_352,hc_4_q52.png,GA,GW,RX,UA,UX,UA,"Q9 Style: Top=count, Bot=shape"
hc_353,hc_4_q53.png,GT,HJ,RJ,RQ,RT,RJ,"Q9 Style: Top=count, Bot=shape"
hc_354,hc_4_q54.png,AU,MB,MY,WU,WY,WY,"Q9 Style: Top=count, Bot=shape"
hc_355,hc_4_q55.png,BH,MP,RA,RP,SC,MP,"Q9 Style: Top=count, Bot=shape"
hc_356,hc_4_q56.png,AM,AT,ET,NF,NL,NF,"Q9 Style: Top=count, Bot=shape"
hc_357,hc_4_q57.png,AV,DH,QW,YH,YW,AV,"Q9 Style: Top=count, Bot=shape"
hc_358,hc_4_q58.png,BV,SV,ZN,ZT,ZV,BV,"Q9 Style: Top=count, Bot=shape"
hc_359,hc_4_q59.png,TH,TM,XH,XR,ZR,TH,"Q9 Style: Top=count, Bot=shape"
hc_360,hc_4_q60.png,HG,HX,HZ,PX,YZ,HX,"Q9 Style: Top=count, Bot=shape"
hc_361,hc_4_q61.png,CG,CN,CP,DP,SA,DP,"Q9 Style: Top=count, Bot=shape"
hc_362,hc_4_q62.png,PJ,PR,SJ,SU,ZJ,SU,"Q9 Style: Top=count, Bot=shape"
hc_363,hc_4_q63.png,HY,MX,PN,PX,PY,PX,"Q9 Style: Top=count, Bot=shape"
hc_364,hc_4_q64.png,AF,AG,AZ,EF,EZ,EZ,"Q9 Style: Top=count, Bot=shape"
hc_365,hc_4_q65.png,FW,TD,TP,VB,VD,VB,"Q9 Style: Top=count, Bot=shape"
hc_366,hc_4_q66.png,AP,SV,WB,WP,WV,AP,"Q9 Style: Top=count, Bot=shape"
hc_367,hc_4_q67.png,DP,HP,RB,RZ,XC,RB,"Q9 Style: Top=count, Bot=shape"
hc_368,hc_4_q68.png,EN,LJ,LM,RJ,WN,EN,"Q9 Style: Top=count, Bot=shape"
hc_369,hc_4_q69.png,GF,GH,JF,PF,VF,GH,"Q9 Style: Top=count, Bot=shape"
hc_370,hc_4_q70.png,CP,HD,KP,MP,MZ,MP,"Q9 Style: Top=count, Bot=shape"
hc_371,hc_4_q71.png,MF,MH,MT,UF,US,MT,"Q9 Style: Top=count, Bot=shape"
hc_372,hc_4_q72.png,CN,CW,CX,ES,US,CW,"Q9 Style: Top=count, Bot=shape"
hc_373,hc_4_q73.png,JF,JS,KF,RY,WF,KF,"Q9 Style: Top=count, Bot=shape"
hc_374,hc_4_q74.png,HJ,HT,PJ,QA,QY,QA,"Q9 Style: Top=count, Bot=shape"
hc_375,hc_4_q75.png,CB,CP,CX,EB,WX,EB,"Q9 Style: Top=count, Bot=shape"
hc_376,hc_4_q76.png,CF,DE,DF,DS,VF,CF,"Q9 Style: Top=count, Bot=shape"
hc_377,hc_4_q77.png,AG,AQ,SG,WC,WQ,AQ,"Q9 Style: Top=count, Bot=shape"
hc_378,hc_4_q78.png,HC,HQ,MA,MQ,SQ,MA,"Q9 Style: Top=count, Bot=shape"
hc_379,hc_4_q79.png,DK,FE,FG,TE,XK,DK,"Q9 Style: Top=count, Bot=shape"
hc_380,hc_4_q80.png,KP,UD,VP,WD,WQ,WD,"Q9 Style: Top=count, Bot=shape"
hc_381,hc_4_q81.png,DL,DM,FX,HX,KL,DL,"Q9 Style: Top=count, Bot=shape"
hc_382,hc_4_q82.png,AQ,EQ,ZQ,ZS,ZY,ZS,"Q9 Style: Top=count, Bot=shape"
hc_383,hc_4_q83.png,SJ,VC,VN,YJ,YN,VN,"Q9 Style: Top=count, Bot=shape"
hc_384,hc_4_q84.png,CJ,CX,TJ,TM,WX,WX,"Q9 Style: Top=count, Bot=shape"
hc_385,hc_4_q85.png,JT,NT,NW,QA,UA,UA,"Q9 Style: Top=count, Bot=shape"
hc_386,hc_4_q86.png,DC,DL,DN,HC,VN,DC,"Q9 Style: Top=count, Bot=shape"
hc_387,hc_4_q87.png,ML,MY,NL,RW,RX,RW,"Q9 Style: Top=count, Bot=shape"
hc_388,hc_4_q88.png,AE,AL,AS,PE,WB,AL,"Q9 Style: Top=count, Bot=shape"
hc_389,hc_4_q89.png,CU,DM,HB,HM,PV,CU,"Q9 Style: Top=count, Bot=shape"
hc_390,hc_4_q90.png,MF,MJ,TF,XF,XQ,MF,"Q9 Style: Top=count, Bot=shape"
hc_391,hc_4_q91.png,BJ,BL,RL,TJ,UC,TJ,"Q9 Style: Top=count, Bot=shape"
hc_392,hc_4_q92.png,DQ,DS,LJ,TJ,TQ,LJ,"Q9 Style: Top=count, Bot=shape"
hc_393,hc_4_q93.png,GR,KR,QR,ZR,ZT,QR,"Q9 Style: Top=count, Bot=shape"
hc_394,hc_4_q94.png,UF,UM,WB,WM,WQ,UF,"Q9 Style: Top=count, Bot=shape"
hc_395,hc_4_q95.png,BL,HC,HT,RE,WE,BL,"Q9 Style: Top=count, Bot=shape"
hc_396,hc_4_q96.png,AB,AJ,ML,ZB,ZR,ZB,"Q9 Style: Top=count, Bot=shape"
hc_397,hc_4_q97.png,DA,DL,HA,HP,UZ,DA,"Q9 Style: Top=count, Bot=shape"
hc_398,hc_4_q98.png,DP,GP,UA,UE,UP,DP,"Q9 Style: Top=count, Bot=shape"
hc_399,hc_4_q99.png,FJ,LC,LJ,NP,NW,LJ,"Q9 Style: Top=count, Bot=shape"
hc_400,hc_4_q100.png,NM,NY,UM,WM,WY,NM,"Q9 Style: Top=count, Bot=shape"
hc_401,hc_4_q101.png,FC,FJ,LJ,VC,VW,FJ,"Q10 Style: Top=position, Bot=count"
hc_402,hc_4_q102.png,DB,DF,DG,UB,WG,UB,"Q10 Style: Top=position, Bot=count"
hc_403,hc_4_q103.png,DK,DM,DS,XK,ZS,DM,"Q10 Style: Top=position, Bot=count"
hc_404,hc_4_q104.png,DF,DJ,YJ,ZC,ZF,DF,"Q10 Style: Top=position, Bot=count"
hc_405,hc_4_q105.png,EB,EC,NC,NM,XC,NM,"Q10 Style: Top=position, Bot=count"
hc_406,hc_4_q106.png,EK,EL,HK,HL,WT,WT,"Q10 Style: Top=position, Bot=count"
hc_407,hc_4_q107.png,DV,DY,PQ,PY,SV,SV,"Q10 Style: Top=position, Bot=count"
hc_408,hc_4_q108.png,CF,CG,DG,DR,JF,JF,"Q10 Style: Top=position, Bot=count"
hc_409,hc_4_q109.png,FZ,MB,MV,WB,WV,WB,"Q10 Style: Top=position, Bot=count"
hc_410,hc_4_q110.png,ES,EZ,JS,JW,RZ,RZ,"Q10 Style: Top=position, Bot=count"
hc_411,hc_4_q111.png,ES,EZ,RP,RS,TZ,TZ,"Q10 Style: Top=position, Bot=count"
hc_412,hc_4_q112.png,FG,FN,HN,HR,JG,FG,"Q10 Style: Top=position, Bot=count"
hc_413,hc_4_q113.png,HE,HJ,HM,NM,YJ,YJ,"Q10 Style: Top=position, Bot=count"
hc_414,hc_4_q114.png,KE,KL,KR,UR,YR,UR,"Q10 Style: Top=position, Bot=count"
hc_415,hc_4_q115.png,DM,QF,QM,QU,YU,QU,"Q10 Style: Top=position, Bot=count"
hc_416,hc_4_q116.png,BG,CG,LG,LX,LZ,LG,"Q10 Style: Top=position, Bot=count"
hc_417,hc_4_q117.png,KQ,SQ,SU,WL,WU,SU,"Q10 Style: Top=position, Bot=count"
hc_418,hc_4_q118.png,BD,BY,KD,XD,XL,BY,"Q10 Style: Top=position, Bot=count"
hc_419,hc_4_q119.png,FB,RC,RN,UC,UN,RC,"Q10 Style: Top=position, Bot=count"
hc_420,hc_4_q120.png,CB,CH,GH,GK,LH,GH,"Q10 Style: Top=position, Bot=count"
hc_421,hc_4_q121.png,AC,AZ,QC,QL,YC,YC,"Q10 Style: Top=position, Bot=count"
hc_422,hc_4_q122.png,DT,KL,KT,KU,RU,RU,"Q10 Style: Top=position, Bot=count"
hc_423,hc_4_q123.png,BG,FA,FG,FP,TA,TA,"Q10 Style: Top=position, Bot=count"
hc_424,hc_4_q124.png,HC,HD,MD,TC,TZ,HD,"Q10 Style: Top=position, Bot=count"
hc_425,hc_4_q125.png,MC,MG,RC,RG,SU,RC,"Q10 Style: Top=position, Bot=count"
hc_426,hc_4_q126.png,HE,HU,TU,XE,XU,HE,"Q10 Style: Top=position, Bot=count"
hc_427,hc_4_q127.png,DG,DU,YM,ZG,ZU,ZG,"Q10 Style: Top=position, Bot=count"
hc_428,hc_4_q128.png,BG,BR,LD,LG,YG,YG,"Q10 Style: Top=position, Bot=count"
hc_429,hc_4_q129.png,AH,AY,SH,SU,TH,TH,"Q10 Style: Top=position, Bot=count"
hc_430,hc_4_q130.png,BJ,BR,GR,GY,SR,BR,"Q10 Style: Top=position, Bot=count"
hc_431,hc_4_q131.png,DA,DQ,JA,WE,WQ,WE,"Q10 Style: Top=position, Bot=count"
hc_432,hc_4_q132.png,NB,NK,RB,RK,TK,RK,"Q10 Style: Top=position, Bot=count"
hc_433,hc_4_q133.png,BN,BZ,GN,MK,MN,MK,"Q10 Style: Top=position, Bot=count"
hc_434,hc_4_q134.png,FC,GC,GN,VC,VQ,GC,"Q10 Style: Top=position, Bot=count"
hc_435,hc_4_q135.png,CB,CP,CY,GY,SP,SP,"Q10 Style: Top=position, Bot=count"
hc_436,hc_4_q136.png,DR,DX,KP,LP,LX,KP,"Q10 Style: Top=position, Bot=count"
hc_437,hc_4_q137.png,GM,GP,GT,LM,WM,WM,"Q10 Style: Top=position, Bot=count"
hc_438,hc_4_q138.png,BU,BW,GU,GY,HU,GY,"Q10 Style: Top=position, Bot=count"
hc_439,hc_4_q139.png,EC,ER,FR,HR,HT,EC,"Q10 Style: Top=position, Bot=count"
hc_440,hc_4_q140.png,PU,PV,QL,QV,YL,YL,"Q10 Style: Top=position, Bot=count"
hc_441,hc_4_q141.png,CV,CX,CY,FV,JV,FV,"Q10 Style: Top=position, Bot=count"
hc_442,hc_4_q142.png,EL,QL,QV,YL,YT,YT,"Q10 Style: Top=position, Bot=count"
hc_443,hc_4_q143.png,LF,LU,LW,MW,TU,TU,"Q10 Style: Top=position, Bot=count"
hc_444,hc_4_q144.png,BZ,FE,FH,FZ,JH,BZ,"Q10 Style: Top=position, Bot=count"
hc_445,hc_4_q145.png,ML,MQ,MT,NL,UL,UL,"Q10 Style: Top=position, Bot=count"
hc_446,hc_4_q146.png,MH,MT,WC,WH,WT,MT,"Q10 Style: Top=position, Bot=count"
hc_447,hc_4_q147.png,CM,CN,JG,JM,JN,CN,"Q10 Style: Top=position, Bot=count"
hc_448,hc_4_q148.png,GK,TB,TF,UB,UK,UB,"Q10 Style: Top=position, Bot=count"
hc_449,hc_4_q149.png,EA,EZ,HD,NA,NZ,EZ,"Q10 Style: Top=position, Bot=count"
hc_450,hc_4_q150.png,FV,FZ,QS,QV,QZ,FZ,"Q10 Style: Top=position, Bot=count"
hc_451,hc_5_q1.png,AN,HC,HN,WN,WZ,HC,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_452,hc_5_q2.png,BF,BZ,MC,SC,SF,MC,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_453,hc_5_q3.png,DJ,DY,FJ,FK,TK,DY,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_454,hc_5_q4.png,HC,HM,NC,NE,QC,NE,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_455,hc_5_q5.png,GL,GR,GS,NL,NS,GL,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_456,hc_5_q6.png,HA,HF,TA,TF,WF,TA,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_457,hc_5_q7.png,KL,NJ,NL,SJ,SL,NJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_458,hc_5_q8.png,BF,BJ,LF,LJ,LR,BJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_459,hc_5_q9.png,GQ,HQ,HZ,YQ,YX,YX,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_460,hc_5_q10.png,DB,MB,MY,TB,TH,TH,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_461,hc_5_q11.png,BK,BP,BU,VK,VU,VK,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_462,hc_5_q12.png,EG,ES,ET,MG,MT,MG,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_463,hc_5_q13.png,EW,ML,MW,YL,YW,EW,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_464,hc_5_q14.png,AG,AN,PJ,PN,WG,PJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_465,hc_5_q15.png,AK,LD,ZD,ZK,ZR,ZK,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_466,hc_5_q16.png,AK,AN,LD,LK,LN,LD,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_467,hc_5_q17.png,JS,KN,KS,KY,XS,KY,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_468,hc_5_q18.png,HJ,HS,HY,VY,WY,HJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_469,hc_5_q19.png,CB,CS,KB,UM,US,KB,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_470,hc_5_q20.png,KL,KS,NL,TM,TS,NL,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_471,hc_5_q21.png,GX,PC,PX,WC,WX,PC,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_472,hc_5_q22.png,MG,MU,MV,YG,YU,YU,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_473,hc_5_q23.png,WP,WQ,WT,XP,XQ,WP,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_474,hc_5_q24.png,LX,YE,ZE,ZS,ZX,YE,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_475,hc_5_q25.png,CH,FH,NH,NX,NY,FH,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_476,hc_5_q26.png,AT,AV,CT,CV,MT,CV,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_477,hc_5_q27.png,FX,FZ,MB,MZ,PB,MZ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_478,hc_5_q28.png,CK,CT,CX,JK,NK,CK,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_479,hc_5_q29.png,JB,JE,JU,KU,VE,JB,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_480,hc_5_q30.png,RZ,XV,YV,YW,YZ,RZ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_481,hc_5_q31.png,BE,BK,ME,MK,UE,ME,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_482,hc_5_q32.png,AH,AP,TP,WH,WM,WH,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_483,hc_5_q33.png,JG,LG,LR,LW,TW,TW,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_484,hc_5_q34.png,JK,XG,XK,ZB,ZG,XG,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_485,hc_5_q35.png,HZ,MB,QB,QD,QZ,MB,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_486,hc_5_q36.png,DV,DY,HY,RB,RV,DV,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_487,hc_5_q37.png,NA,NS,RK,ZK,ZS,ZK,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_488,hc_5_q38.png,AK,HJ,HK,WJ,WK,AK,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_489,hc_5_q39.png,GD,GL,YR,ZD,ZL,GD,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_490,hc_5_q40.png,FG,HT,HX,UG,UX,UX,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_491,hc_5_q41.png,MG,MK,PG,YG,YR,YR,"Q11 Style: Top refers to shape2, Bot refers to shape1"
hc_492,hc_5_q42.png,KJ,KV,PF,PJ,YF,PJ,"Q11 Style: Top refers to shape2, Bot refers to shape1"
